REF,Company,Company_Location,Year_Reviewed,Bean_Origin,Cocoa_Percent,Characteristics,Rating,S_Bean_Origin,Number_Ingredients,Ingredient_B,Ingredient_C,Ingredient_L,Ingredient_S,Ingredient_S*,Ingredient_Sa,Ingredient_V
2024,Dandelion,U.S.A.,2017,Costa Rica,70.0,"cocoa, sour, toffee, earthy",3.0,"Hacienda Azul, 2016 Harvest",2,1,0,0,1,0,0,0
2178,Dandelion,U.S.A.,2018,Sierra Leone,70.0,"vegetal, high astringency",3.0,"Gola Rainforest, 2017 harvest",2,1,0,0,1,0,0,0
2178,Dandelion,U.S.A.,2018,Honduras,70.0,"nutty, moderate acidity",3.25,"WAMPU, La Mosquitia, 2017 harvest",2,1,0,0,1,0,0,0
2178,Dandelion,U.S.A.,2018,India,70.0,"ripe orange, citrus",3.5,"Anamalai, 2017 harvest",2,1,0,0,1,0,0,0
2386,Dandelion,U.S.A.,2019,Vietnam,70.0,"green apple, sticky",3.5,"Ben Tre, 2018 Harvest",2,1,0,0,1,0,0,0
2602,Dandelion,U.S.A.,2021,Guatemala,70.0,"pungent, woody, choco pudding",2.75,"Cahabon, Cacao Verapaz, ADIOESMAC",2,1,0,0,1,0,0,0
2602,Dandelion,U.S.A.,2021,India,70.0,"pungent, sour, tart, intense",2.75,"Anamalai, 2018 H.",2,1,0,0,1,0,0,0
2550,Dandelion,U.S.A.,2021,Peru,70.0,"grape, pungent",3.25,"Piura Blanco, 2015 h.,Norandino Coop",2,1,0,0,1,0,0,0
2602,Dandelion,U.S.A.,2021,India,70.0,"orange soda, sour",3.25,"Anamalai, 2019 H.",2,1,0,0,1,0,0,0
2546,Dandelion,U.S.A.,2021,Tanzania,70.0,"dairy, honey, cocoa",3.5,"Kokoa Kamili, 2017 h.",2,1,0,0,1,0,0,0
2550,Dandelion,U.S.A.,2021,Dominican Republic,70.0,"faint fruit, basic fudgey",3.5,"Zorzal Estate, 2016 h.",2,1,0,0,1,0,0,0
2546,Dandelion,U.S.A.,2021,Brazil,70.0,distinct choco and graham,4.0,"Vale Potumuju, 2019 h.",2,1,0,0,1,0,0,0
654,Dandelion (aka Brower Ave),U.S.A.,2011,Dominican Republic,70.0,"grassy, fruity, brownie",3.25,Dominican Republic,2,1,0,0,1,0,0,0
654,Dandelion (aka Brower Ave),U.S.A.,2011,Madagascar,70.0,"brownie, red berry",3.25,Madagascar,2,1,0,0,1,0,0,0
654,Dandelion (aka Brower Ave),U.S.A.,2011,Tanzania,70.0,cocoa flavor dominates,3.25,Tanzania,2,1,0,0,1,0,0,0
2550,Dandelion (Japan),U.S.A.,2021,Dominican Republic,70.0,"light caramel, sl. dry, earthy",3.0,"Zorzal Estate, 2017 h.",2,1,0,0,1,0,0,0
423,Danta,Guatemala,2009,Guatemala,75.0,"dark woody, plum, astringent",3.0,Las Acacias E.,4,1,1,0,1,0,0,1
423,Danta,Guatemala,2009,Guatemala,60.0,"wood, holiday spice, soap",3.25,Las Acacias E.,4,1,1,0,1,0,0,1
661,Danta,Guatemala,2011,Guatemala,60.0,"oily, dried fruit, vanilla",3.5,Los Ujuxtes,4,1,1,0,1,0,0,1
987,Danta,Guatemala,2012,Venezuela,75.0,"gummy, fatty, caramel",3.0,Chuao,4,1,1,0,1,0,0,1
991,Danta,Guatemala,2012,Guatemala,70.0,"nutty, ashey, spicy pepper",3.25,"Oscuro, Finca Chimelb",2,1,0,0,1,0,0,0
987,Danta,Guatemala,2012,Guatemala,70.0,spicy,3.75,Los Ujuxtes,2,1,0,0,1,0,0,0
987,Danta,Guatemala,2012,Madagascar,70.0,"oily, toffee, hints of fruit",3.75,Sambirano,2,1,0,0,1,0,0,0
987,Danta,Guatemala,2012,Guatemala,70.0,"sweet spice, floral",4.0,Las Acacias E.,2,1,0,0,1,0,0,0
1223,Danta,Guatemala,2014,Guatemala,82.0,"fatty, sunflower, peanutbutter",3.25,Los Ujuxtes,4,1,1,0,1,0,0,1
1920,DAR,U.S.A.,2016,Venezuela,72.0,"nut, tobacco, burnt, off notes",2.75,Venezuela,2,1,0,0,1,0,0,0
1920,DAR,U.S.A.,2016,Vietnam,72.0,"raisins, astringent",3.0,Vietnam,2,1,0,0,1,0,0,0
1920,DAR,U.S.A.,2016,Blend,70.0,"floral, licorice, roasty",3.25,DUO,2,1,0,0,1,0,0,0
2342,Darcis,Belgium,2019,Peru,72.0,"muted, creamy, grapes, fatty",3.0,Piura,4,1,1,1,1,0,0,0
2342,Darcis,Belgium,2019,Vietnam,70.0,"muted, creamy, basic cocoa",3.25,Mekong Delta,4,1,1,1,1,0,0,0
1550,Dark Forest,U.S.A.,2015,Madagascar,70.0,"sweet, strong sour, acidic",3.0,Madagascar,3,1,1,0,1,0,0,0
1554,Dark Forest,U.S.A.,2015,Tanzania,70.0,"intense, sweet, brownie",3.0,Tanzania,3,1,1,0,1,0,0,0
1550,Dark Forest,U.S.A.,2015,Venezuela,70.0,"roasty, nutty, sweet",3.25,Ocumare,3,1,1,0,1,0,0,0
1554,Dark Forest,U.S.A.,2015,Ecuador,70.0,"bold, floral, rum",3.25,Ecuador,3,1,1,0,1,0,0,0
1708,Dark Forest,U.S.A.,2016,Bolivia,75.0,"mild cherry, fatty",3.25,Bolivia,3,1,1,0,1,0,0,0
907,Davis,U.S.A.,2012,Blend,58.0,"nice melt, odd rubber notes",3.25,West Africa,4,1,1,1,1,0,0,0
1093,Davis,U.S.A.,2013,Ghana,70.0,"vanilla, fatty, basic cocoa",2.5,Ghana,4,1,1,1,1,0,0,0
1093,Davis,U.S.A.,2013,Dominican Republic,70.0,"chalky, vanilla, caramel",2.75,Rainforest,4,1,1,1,1,0,0,0
1093,Davis,U.S.A.,2013,Venezuela,70.0,"fatty, powdery, nut, sl. Burnt",2.75,Venezuela,4,1,1,1,1,0,0,0
1462,De Mendes,Brazil,2015,Brazil,72.0,"texture issues, brownie",3.5,"Nativo, Varzea",3,1,1,0,1,0,0,0
1462,De Mendes,Brazil,2015,Brazil,65.0,"one dimensional, brownie",3.5,"Selvagem, Jari",3,1,1,0,1,0,0,0
1832,De Villiers,South Africa,2016,Uganda,70.0,"high roast, intense, fatty",2.5,Bundibugyo District,3,1,1,0,1,0,0,0
1832,De Villiers,South Africa,2016,Madagascar,70.0,"high roast, fruit",3.0,Sambirano Valley,3,1,1,0,1,0,0,0
170,Dean and Deluca (Belcolade),U.S.A.,2007,Madagascar,66.0,"sandy, cloying, rich cocoa",2.5,Madagascar,4,1,1,0,1,0,0,1
175,Dean and Deluca (Belcolade),U.S.A.,2007,Costa Rica,64.0,"dark coffee, cocoa",3.0,Costa Rica,4,1,1,0,1,0,0,1
175,Dean and Deluca (Belcolade),U.S.A.,2007,Ecuador,71.0,"cinamon, nutmeg, coffee",3.0,Ecuador,4,1,1,0,1,0,0,1
175,Dean and Deluca (Belcolade),U.S.A.,2007,Ghana,60.0,"nutty, simple, sweet",3.0,Ghana,4,1,1,0,1,0,0,1
180,Dean and Deluca (Belcolade),U.S.A.,2007,Papua New Guinea,64.0,"waxy, tobacco, smokey",3.0,Papua New Guinea,4,1,1,0,1,0,0,1
180,Dean and Deluca (Belcolade),U.S.A.,2007,Peru,64.0,"mild mint, basic cocoa",3.0,Peru,4,1,1,0,1,0,0,1
263,Debauve & Gallais (Michel Cluizel),France,2008,Venezuela,66.0,"fatty, rich cocoa, roasty",3.75,Venezuela,4,1,1,0,1,0,0,1
423,Debauve & Gallais (Michel Cluizel),France,2009,Papua New Guinea,64.0,"smokey,chalky,berry,caramel",3.0,Papua New Guinea,4,1,1,0,1,0,0,1
2222,Definite,Dominican Republic,2018,Dominican Republic,70.0,"metallic, dirt/ earthy",2.5,Elvesia,2,1,0,0,1,0,0,0
2222,Definite,Dominican Republic,2018,Dominican Republic,70.0,"dirty, floral, unrefined",2.5,Duarte Province,2,1,0,0,1,0,0,0
2222,Definite,Dominican Republic,2018,Dominican Republic,80.0,"mild bitter, fatty, grassy",3.0,Duarte Province,2,1,0,0,1,0,0,0
1916,Desbarres,Canada,2016,Tanzania,72.0,"vanilla, chemical, rubber",2.5,Kilombero,2,1,0,0,1,0,0,0
2422,Desbarres,Canada,2019,Guatemala,72.0,"smokey, roasty, acidic, rich",3.0,Monte Grande,2,1,0,0,1,0,0,0
166,DeVries,U.S.A.,2007,Costa Rica,77.0,"red berry, lingering coffee",3.5,Costa Rica,2,1,0,0,1,0,0,0
166,DeVries,U.S.A.,2007,Dominican Republic,77.0,"sticky, woodsy, rum",3.5,Dominican Republic,2,1,0,0,1,0,0,0
241,DeVries,U.S.A.,2008,Bolivia,80.0,"intense fruit, bitter ending",2.75,Bolivian,2,1,0,0,1,0,0,0
661,Dick Taylor,U.S.A.,2011,Madagascar,80.0,"sandy, flat, hint of berry",2.75,Sambirano,2,1,0,0,1,0,0,0
682,Dick Taylor,U.S.A.,2011,Venezuela,75.0,"sticky, very roasty, nutty",2.75,Mantuano,2,1,0,0,1,0,0,0
769,Dick Taylor,U.S.A.,2011,Dominican Republic,74.0,"earthy, tart, sour",3.0,La Red,2,1,0,0,1,0,0,0
769,Dick Taylor,U.S.A.,2011,Ecuador,70.0,"grassy, tea, late sour",3.25,Ecuador,2,1,0,0,1,0,0,0
895,Dick Taylor,U.S.A.,2012,Bolivia,75.0,"dry, mint, medicinal",2.75,Bolivia,2,1,0,0,1,0,0,0
1034,Dick Taylor,U.S.A.,2013,Ecuador,70.0,"oily, black pepper, roasty",3.25,"Ecuador, Choc. Garage Exclusive",2,1,0,0,1,0,0,0
1193,Dick Taylor,U.S.A.,2013,Ecuador,76.0,"butter, floral, rum",3.5,Camino Verde,2,1,0,0,1,0,0,0
1235,Dick Taylor,U.S.A.,2014,Dominican Republic,74.0,"mild fruit and spice, roasty",3.5,Elvesia,2,1,0,0,1,0,0,0
1634,Dick Taylor,U.S.A.,2015,Bolivia,70.0,"sticky, rich, cherry",3.75,"Alto Beni, Wild Harvest, Limited Ed.",2,1,0,0,1,0,0,0
1864,Dick Taylor,U.S.A.,2016,Vietnam,78.0,"tropical berry, intense",3.5,Tien Giang,2,1,0,0,1,0,0,0
1952,Dick Taylor,U.S.A.,2017,Guatemala,70.0,"blackberry, raisns",3.75,Lanquin Estate,2,1,0,0,1,0,0,0
1972,Dick Taylor,U.S.A.,2017,Brazil,75.0,"sticky, roasty nibs, grapes",3.75,"Fazenda Camboa, Bahia",2,1,0,0,1,0,0,0
2016,Dick Taylor,U.S.A.,2017,Solomon Islands,72.0,"well defined, creamy, cherry",4.0,"Solomon Is.,batch 17158, N.Vela",2,1,0,0,1,0,0,0
2258,Dick Taylor,U.S.A.,2018,Fiji,80.0,"cocoa, tea, malt",3.75,"Vanua Levu, Matasawalevu",2,1,0,0,1,0,0,0
2434,Dick Taylor,U.S.A.,2019,Madagascar,72.0,"sticky, dried fruit, toast, cocoa",3.75,"Akesson P., Sambirano",2,1,0,0,1,0,0,0
2270,Dick Taylor,U.S.A.,2019,Belize,72.0,"creamy, sticky, dried fruit",4.0,"Maya Mtn, Toledo",2,1,0,0,1,0,0,0
2466,Dick Taylor,U.S.A.,2020,Blend,73.0,"burnt honey, earthy",3.5,"Northerner, Madagascar and Brazil",2,1,0,0,1,0,0,0
2554,Dick Taylor,U.S.A.,2021,Jamaica,75.0,"sl. bitter, black licorice, dried fig",3.75,Bachelor's Hall,2,1,0,0,1,0,0,0
2656,Dick Taylor,U.S.A.,2021,Mexico,72.0,"dried fruit, fig, astringent, sticky",4.0,"Soconusco, Rayen Cacao Co-op",2,1,0,0,1,0,0,0
2406,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,75.0,"late cocoa, harsh, off notes",2.5,"Sao Tome, Grand Cru Plantation, amelonado",4,1,1,1,1,0,0,0
2402,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,70.0,"cocoa, raw, dirty, chemical",2.75,"Sao Tome, unroasted",4,1,1,1,1,0,0,0
2402,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,65.0,"complex, sweet, sour, grassy",3.0,Sao Tome,4,1,1,1,1,0,0,0
2406,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,75.0,"bland, fatty, fruit",3.0,Sao Tome,4,1,1,1,1,0,0,0
1371,Doble & Bignall,U.K.,2014,Panama,72.0,"mild cherry, earthy",3.25,"Panama, Raven",3,1,1,0,1,0,0,0
1371,Doble & Bignall,U.K.,2014,Venezuela,72.0,"fatty, rasin, nutty",3.25,"Puerto Cabello, Mantuano",3,1,1,0,1,0,0,0
1407,Doble & Bignall,U.K.,2014,Nicaragua,72.0,"nutty, caramel, toffee",3.5,Johe,3,1,1,0,1,0,0,0
1688,Doble & Bignall,U.K.,2015,Venezuela,85.0,"intense, spicy, floral",3.0,Puerto Cabello,3,1,1,0,1,0,0,0
63,Dolfin (Belcolade),Belgium,2006,Blend,70.0,"acidic, astringent, unpleasant",1.5,Noir,3,1,0,1,1,0,0,0
304,Dolfin (Belcolade),Belgium,2008,Blend,88.0,"sticky, floral",3.0,"Africa, West Africa",3,1,0,1,1,0,0,0
87,Domori,Italy,2006,Venezuela,70.0,"long lasting, fruit",3.0,Sur del Lago Classificado,2,1,0,0,1,0,0,0
87,Domori,Italy,2006,Peru,70.0,"floral, olive",3.25,Apurimac,2,1,0,0,1,0,0,0
87,Domori,Italy,2006,Venezuela,70.0,"creamy, basic cocoa",3.5,Carenero Superior,2,1,0,0,1,0,0,0
129,Domori,Italy,2007,Venezuela,75.0,"sticky, smoke, ham, earthy",3.25,"Ocumare 61, Puertomar",2,1,0,0,1,0,0,0
135,Domori,Italy,2007,Venezuela,60.0,"mild spice, licorice",3.25,Granella,2,1,0,0,1,0,0,0
135,Domori,Italy,2007,Madagascar,70.0,"fruity, basic cocoa",3.5,Madagascar,2,1,0,0,1,0,0,0
192,Domori,Italy,2007,Madagascar,70.0,"smooth, banana, cocoa",3.5,Madagared,2,1,0,0,1,0,0,0
192,Domori,Italy,2007,Indonesia,70.0,"creamy, smokey, tobacco",3.75,"Java, Javablond",2,1,0,0,1,0,0,0
111,Domori,Italy,2007,Venezuela,70.0,"creamy, complex, coffee",4.0,Porcelana,2,1,0,0,1,0,0,0
192,Domori,Italy,2007,Ecuador,70.0,"creamy, nuts, woody, cocoa",4.0,Ecuador,2,1,0,0,1,0,0,0
192,Domori,Italy,2007,Venezuela,70.0,"creamy, mint, tobacco, olive",4.0,"Ocumare 67, Puertofino",2,1,0,0,1,0,0,0
227,Domori,Italy,2008,Venezuela,70.0,"cucumber, hot spices",3.0,"Carupano, H. San Jose",2,1,0,0,1,0,0,0
272,Domori,Italy,2008,Colombia,70.0,"creamy, woody, earthy",3.0,Teyuna,2,1,0,0,1,0,0,0
272,Domori,Italy,2008,Blend,78.0,"sticky, grassy, coffee",3.5,Blend No. 1,2,1,0,0,1,0,0,0
272,Domori,Italy,2008,Blend,70.0,"sticky, olive",3.75,Ilblend,2,1,0,0,1,0,0,0
470,Domori,Italy,2010,Venezuela,70.0,"subtle, caramel, sour milk",3.0,"Chuao, Hacienda San Jose",2,1,0,0,1,0,0,0
693,Domori,Italy,2011,Venezuela,70.0,"smooth, intense, smoke, nut",3.5,"Canoabo, Hacienda San Jose",2,1,0,0,1,0,0,0
863,Domori,Italy,2012,Tanzania,70.0,"sticky, nutty",3.5,Morogoro,2,1,0,0,1,0,0,0
863,Domori,Italy,2012,Venezuela,70.0,"creamy, coffee, caramel",3.75,Guasare,2,1,0,0,1,0,0,0
1672,Domori,Italy,2015,Ecuador,70.0,"floral, well developed, creamy",3.75,Hacienda Victoria,2,1,0,0,1,0,0,0
1672,Domori,Italy,2015,Venezuela,70.0,"nutty, strawberry, creamy",3.75,Ocumare 77,2,1,0,0,1,0,0,0
2040,Domori,Italy,2018,Tanzania,70.0,"creamy, sticky, fruit",4.0,Tanzania,2,1,0,0,1,0,0,0
1672,Dormouse,U.K.,2015,Venezuela,70.0,"burnt rubber, molasses",2.5,"Rio Caribe, Batch 7",3,1,1,0,1,0,0,0
1676,Dormouse,U.K.,2015,Colombia,80.0,"bitter,molasses,marshmallow",2.75,"Colombia, Batch 9",3,1,1,0,1,0,0,0
1676,Dormouse,U.K.,2015,Madagascar,77.0,"fruity, molasses",2.75,"Madagascar, Batch 8",3,1,1,0,1,0,0,0
1880,Dormouse,U.K.,2016,Grenada,75.0,"licorice, molasses, rubber",2.75,Non Pariel Estate,3,1,1,0,0,1,0,0
2052,Dormouse,U.K.,2018,Philippines,71.5,molasses notes from sugar,2.75,Kablon Farm,3,1,1,0,0,1,0,0
2052,Dormouse,U.K.,2018,Guatemala,72.0,"near perfect shine, cocoa",3.5,Verapaz,3,1,1,0,0,1,0,0
2096,Dormouse,U.K.,2018,Peru,80.0,"molasses, fruit",3.5,Piura,2,1,0,0,0,1,0,0
2696,Dormouse,U.K.,2021,Belize,78.0,molasses notes dominate,3.25,"Trio Reserve, 2020 h. batch D002",3,1,1,0,1,0,0,0
2390,Double Spiral,U.S.A.,2019,Dominican Republic,75.0,"dry, earthy, walnut",2.5,Oko Caribe,2,1,0,0,1,0,0,0
2390,Double Spiral,U.S.A.,2019,Tanzania,70.0,"dry, sour, sweet, mild fruit",2.75,Kokoa Kamili,2,1,0,0,1,0,0,0
2390,Double Spiral,U.S.A.,2019,Dominican Republic,75.0,"dry, cocoa, grassy, spicy",3.0,Hispaniola,2,1,0,0,1,0,0,0
523,Duffy's,U.K.,2010,Ecuador,70.0,"chalky, bread, dirt",2.5,Star of Ecuador,3,1,1,0,1,0,0,0
516,Duffy's,U.K.,2010,Panama,70.0,caramel and cocoa,3.5,Panama,3,1,1,0,1,0,0,0
516,Duffy's,U.K.,2010,Ecuador,72.0,"rich cocoa, fruity, strong floral",3.75,"Corazon del Ecuador, Calceta beans",3,1,1,0,1,0,0,0
523,Duffy's,U.K.,2010,Peru,70.0,"dark forest berry, spice",3.75,Star of Peru,3,1,1,0,1,0,0,0
697,Duffy's,U.K.,2011,Panama,72.0,"licorice, leathery",3.0,"Bocas del Toro, Tierra Oscura",3,1,1,0,1,0,0,0
697,Duffy's,U.K.,2011,Nicaragua,71.0,"intense, almond, coffee",3.25,"Nicaliso, Xoco",3,1,1,0,1,0,0,0
661,Duffy's,U.K.,2011,Dominican Republic,65.0,"heavy roast, woody, berry",3.5,Dominican Republic,3,1,1,0,1,0,0,0
765,Duffy's,U.K.,2011,Venezuela,71.0,intense cocoa,3.5,Ocumare,3,1,1,0,1,0,0,0
623,Duffy's,U.K.,2011,Honduras,72.0,"dried fruit, grapes, sour",3.75,"Indio Rojo, Xoco",3,1,1,0,1,0,0,0
923,Duffy's,U.K.,2012,Venezuela,72.0,"creamy, nutty",3.75,Ocumare,3,1,1,0,1,0,0,0
1331,Duffy's,U.K.,2014,Nicaragua,70.0,"sandy, full bodied, spicy",3.5,"Chuno, Xoco",4,1,1,1,1,0,0,0
1331,Duffy's,U.K.,2014,Nicaragua,76.0,"black pepper, rich, intense",3.75,"Rico Rugoso, Xoco",4,1,1,1,1,0,0,0
1662,Duffy's,U.K.,2015,Guatemala,70.0,"intense, spicy, butterscotch",4.0,"Rio Dulce, Xoco",4,1,1,1,1,0,0,0
1964,Duffy's,U.K.,2017,Nigeria,70.0,candy like off flavor,2.75,Eti-Oni,4,1,1,1,1,0,0,0
2100,Duffy's,U.K.,2018,Guatemala,80.0,"intense earthy, cocoa, roasty",3.25,Mayan Red,4,1,1,1,1,0,0,0
2366,Duffy's,U.K.,2019,Philippines,70.0,"cocoa, honey, watery, sweet",3.5,South Cotabato,4,1,1,1,1,0,0,0
2648,Duffy's,U.K.,2021,Nicaragua,70.0,"fruit, holiday spice",3.5,Juno,4,1,1,1,1,0,0,0
1506,Dulcinea,U.S.A.,2015,Dominican Republic,70.0,"coarse, earthy, mild banana",3.25,Dominican Republic,2,1,0,0,1,0,0,0
1630,Durci,U.S.A.,2015,Dominican Republic,70.0,"dates, acidic, rich cocoa",3.25,Taino Secret,3,1,1,0,1,0,0,0
1630,Durci,U.S.A.,2015,Venezuela,70.0,"cherry, earthy, tobacco",3.25,"Carenero, Empyrean Sabor",3,1,1,0,1,0,0,0
1626,Durci,U.S.A.,2015,Peru,70.0,"sandy, orange, butterscotch",3.5,"Maranon, Joya Rara",3,1,1,0,1,0,0,0
1626,Durci,U.S.A.,2015,Venezuela,70.0,"fatty, roasty, intense brownie",3.5,"Rio Caribe, Tepui Treasure",3,1,1,0,1,0,0,0
1630,Durci,U.S.A.,2015,Ecuador,70.0,blackberry and cinnamon,4.0,Corona Arriba,3,1,1,0,1,0,0,0
2040,Durci,U.S.A.,2018,Peru,70.0,"smoth, dense, grape",4.0,Piura Blanco,3,1,1,0,1,0,0,0
1343,East Van Roasters,Canada,2014,Peru,70.0,"waxy, spicy, tobacco",3.25,Peru,3,1,1,0,1,0,0,0
1343,East Van Roasters,Canada,2014,Madagascar,70.0,ultra fruity,3.5,Madagascar,3,1,1,0,1,0,0,0
1343,East Van Roasters,Canada,2014,Dominican Republic,70.0,"spicy, cocoa",3.75,Dominican Republic,3,1,1,0,1,0,0,0
1812,Eau de Rose,Canada,2016,Colombia,70.0,"dried fruit, strong floral",3.25,Tumaco,3,1,1,0,1,0,0,0
1812,Eau de Rose,Canada,2016,Colombia,70.0,"mild, dried fruit, chocolate",3.25,Arauca,3,1,1,0,1,0,0,0
919,Eclat (Felchlin),U.S.A.,2012,Peru,72.0,"buttery, burlap",2.75,"Maranon, Good & Evil, w/ nibs",3,1,1,0,1,0,0,0
2358,Eclat (Fruition),U.S.A.,2019,Peru,80.0,"nutty, almond butter",3.5,"NOE, nacional/criollo",2,1,0,0,1,0,0,0
1876,Edelmond,Germany,2016,Venezuela,68.0,"dry, gritty, cardboard, nutty",3.0,Porcelana,2,1,0,0,1,0,0,0
2534,El Buen,U.S.A.,2020,Madagascar,70.0,"molasses, red fruit, astringent",3.0,"Akessons, Sambirano Valley",2,1,0,0,1,0,0,0
2534,El Buen,U.S.A.,2020,Colombia,70.0,"cocoa, spice, alcohol, dirty",3.0,Tumaco,2,1,0,0,1,0,0,0
252,El Ceibo,Bolivia,2008,Bolivia,71.0,"lemon, tart, burnt, chemical",2.75,Alto Beni,4,1,1,1,1,0,0,0
709,El Ceibo,Bolivia,2011,Bolivia,75.0,"nutty, rich, red berry",3.75,"Alto Beni, Covendo Region",4,1,1,1,1,0,0,0
32,El Rey,Venezuela,2006,Venezuela,70.0,"gritty, chalky, earthy, sour",2.75,"Carenero Superior, Gran Saman",5,1,1,1,1,0,0,1
206,El Rey,Venezuela,2008,Venezuela,74.0,"sandy, banana, sour",2.5,"Carenero Superior, Apamate",5,1,1,1,1,0,0,1
206,El Rey,Venezuela,2008,Venezuela,58.0,"gritty, sweet, banana, smoke",2.5,"Carenero Superior, Bucare",5,1,1,1,1,0,0,1
206,El Rey,Venezuela,2008,Venezuela,61.0,"muted, cherry, banana",3.0,"Carenero Superior, Mijao",5,1,1,1,1,0,0,1
439,El Rey,Venezuela,2009,Venezuela,60.5,"very sweet, marshmallow",2.75,"Rio Caribe, Cariaco",5,1,1,1,1,0,0,1
439,El Rey,Venezuela,2009,Venezuela,70.0,"sandy,bold,cherry,peanut butter",3.0,"Rio Caribe, Macuro",5,1,1,1,1,0,0,1
1662,El Rey,Venezuela,2015,Venezuela,70.0,"spicy, caramel, vanilla",3.75,San Joaquin,5,1,1,1,1,0,0,1
2382,Eldora,U.S.A.,2019,Guatemala,70.0,"cocoa, fig notes",3.5,Polochic,3,1,1,0,1,0,0,0
1137,Emerald Estate,St. Lucia,2013,St. Lucia,60.0,"low refinement, too sweet",2.75,Emerald Estate,2,1,0,0,1,0,0,0
1137,Emerald Estate,St. Lucia,2013,St. Lucia,70.0,"sandy, tannic, earthy",3.25,Emerald Estate,2,1,0,0,1,0,0,0
1450,Emily's,Japan,2015,Venezuela,79.0,"coarse, woody, roasty",3.0,Patanemo,3,1,1,0,1,0,0,0
1454,Emily's,Japan,2015,Peru,78.0,"brownine, nutty",3.5,Peru,3,1,1,0,1,0,0,0
2114,Encuentro,France,2018,Dominican Republic,70.0,"earthy, floral, cocoa",3.25,Oko Caribe,2,1,0,0,1,0,0,0
2108,Encuentro,France,2018,Haiti,70.0,"simple, mild cocoa, fruit",3.5,Pisa w/ nibs,2,1,0,0,1,0,0,0
2108,Encuentro,France,2018,Guatemala,70.0,"spicy, sweet,",3.5,Asochivite,2,1,0,0,1,0,0,0
2118,Encuentro,France,2018,Madagascar,70.0,"fruity, roasty",3.5,Bejofo,2,1,0,0,1,0,0,0
1916,ENNA,U.S.A.,2016,Honduras,75.0,"carrots, heavy roast",3.25,Wampusirpi,2,1,0,0,1,0,0,0
2198,ENNA,U.S.A.,2018,Vietnam,72.0,"intens, brownie, spicy, metal",3.0,Ben Tre,2,1,0,0,1,0,0,0
2350,ENNA,U.S.A.,2019,Sierra Leone,70.0,"dirty, earthy, burnt, honey",2.5,Gola Rainforest,3,1,1,0,1,0,0,0
2350,ENNA,U.S.A.,2019,Tanzania,80.0,"fruit, dirty",3.0,Kokoa Kamili,3,1,1,0,1,0,0,0
2350,ENNA,U.S.A.,2019,Trinidad,72.0,"muddy, raisins, nut, rubbery",3.5,"Maiden Voyage Estate, Herbert Pasqual",3,1,1,0,1,0,0,0
1209,Erithaj (A. Morin),France,2014,Vietnam,80.0,"mild bitter, smoke, hammy",3.0,Ham Luong,3,1,1,0,1,0,0,0
1205,Erithaj (A. Morin),France,2014,Vietnam,70.0,"spicy, green, long, intense",3.25,Ben Tre,3,1,1,0,1,0,0,0
1209,Erithaj (A. Morin),France,2014,Vietnam,74.0,"grit,smoke, wood, blackberry",3.25,"Ba Lai, Mekong Delta",3,1,1,0,1,0,0,0
252,Escazu,U.S.A.,2008,Venezuela,72.0,"woody, cocoa",3.0,Ocumare,4,1,1,0,1,0,0,1
414,Escazu,U.S.A.,2009,Costa Rica,65.0,"sticky, slight plum, medicinal",2.0,Guapiles,4,1,1,0,1,0,0,1
431,Escazu,U.S.A.,2009,Blend,74.0,"sweet, vanilla, sticky",2.75,"Carenero, Guapiles, Ocumare blend",4,1,1,0,1,0,0,1
423,Escazu,U.S.A.,2009,Venezuela,81.0,"hazelnut, fruit, slight bitter",3.5,Carenero Superior,4,1,1,0,1,0,0,1
903,Escazu,U.S.A.,2012,Venezuela,70.0,"nutty, ginger, off notes",2.75,Rio Caribe,4,1,1,0,1,0,0,1
2570,Escazu,U.S.A.,2021,Blend,65.0,"sweet, too few nibs, cocoa",3.0,"""Roasted Cocoa Nibs"", Latin America Blend, b.060321",3,1,1,0,1,0,0,0
2570,Escazu,U.S.A.,2021,Colombia,70.0,"mild licorice, late mocha",3.5,"Arhuacos, Sierra Nevada",2,1,0,0,1,0,0,0
666,Ethel's Artisan (Mars),U.S.A.,2011,Blend,55.0,"gritty,overyly sweet,fruit punch",2.5,"Peru, Madagascar",4,1,1,0,1,0,0,1
666,Ethel's Artisan (Mars),U.S.A.,2011,Trinidad,55.0,"grits, very sweet, banana",2.5,Trinidad,4,1,1,0,1,0,0,1
666,Ethel's Artisan (Mars),U.S.A.,2011,Venezuela,70.0,"strong vanilla, strawberry, nut",2.5,Porcelana,4,1,1,0,1,0,0,1
672,Ethel's Artisan (Mars),U.S.A.,2011,Blend,62.0,"gritty, sweet, vanilla, woody",2.5,"Venezuela, Trinidad",4,1,1,0,1,0,0,1
666,Ethel's Artisan (Mars),U.S.A.,2011,Blend,62.0,"sweet, vanilla, mild banana",2.75,Red Vanilla,4,1,1,0,1,0,0,1
1275,Ethereal,U.S.A.,2014,Belize,80.0,"mild fruit, earthy",3.0,Belize,3,1,1,0,1,0,0,0
1275,Ethereal,U.S.A.,2014,Ecuador,80.0,"spicy, roasty, mild bitter",3.5,Ecuador,3,1,1,0,1,0,0,0
